,pairID,Flickr30kID,hypothesis,gold_label,explanation
11875,3143991972.jpg#4r1n,3143991972.jpg,The airport is busy.,neutral,The picture in the airport does not clearly shows that it was busy. there are vacant seat and only a couple of people seen in the picture.
5185,3431671749.jpg#3r1e,3431671749.jpg,There is a car driving,entailment,A car can be on fire while driving.
5186,3431671749.jpg#3r1c,3431671749.jpg,There is a car not moving,contradiction,not all cars are race car
6688,3431671749.jpg#0r1n,3431671749.jpg,A smart car is zooming off with fire coming out of its exhaust pipe.,neutral,A car can be of any type and doesn't have to be a smart car.
5484,160541986.jpg#0r1e,160541986.jpg,A female is being photographed,entailment,A women is  a female. She poses for the camera so she is being photographed.
2412,160541986.jpg#2r1c,160541986.jpg,A woman sleeping in her bed.,contradiction,A woman wearing antiquated clothing including many pearls would not be sleeping in her bed.
11719,160541986.jpg#2r1n,160541986.jpg,A woman going to the Grammy's.,neutral,The woman could be heading to somewhere else other than the Grammy's.
13995,20805896.jpg#2r1n,20805896.jpg,The two men are laughing.,entailment,The two men appeared to be laughing and having fun .
6972,20805896.jpg#4r1c,20805896.jpg,Two women lay out to tan.,contradiction,they can't be both women and men.
14233,20805896.jpg#4r1n,20805896.jpg,The two men are a couple.,neutral,There is no evidence the two men are a couple.
14666,5661511556.jpg#0r5n,5661511556.jpg,Some people are wearing sneakers.,entailment,people are wearing sneakers in the background
5605,5661511556.jpg#0r1c,5661511556.jpg,a boy plays at an arcade,contradiction,People are in a garden space together where a boy holds a wooden frame of a raised plant bed. This garden space is not at an arcade which is where the other boy is.. A garden and an arcade are two different places
11496,5661511556.jpg#0r3n,5661511556.jpg,The young Black boy is helping with some new plants.,neutral,"do not know if the young boy is helping with plants, looks like wood"
7879,484280924.jpg#0r3e,484280924.jpg,The man is inside a building.,entailment,he  almost the same as man
2750,484280924.jpg#4r1c,484280924.jpg,The man is angrily making food.,contradiction,The man can't be doing it both angrily and happily.
7884,484280924.jpg#0r4n,484280924.jpg,A man is making sushi to-go,neutral,Just because an Asian chef is working in the kitchen does not mean the man is making sushi to-go.
6591,582788646.jpg#3r4e,582788646.jpg,The boy is wearing floaties as a safety precaution to prevent drowning.,entailment,The boy is wearing floaties with his feet in the sand on the beach
6587,582788646.jpg#3r3c,582788646.jpg,A boy is sleeping,contradiction,"His feet in the sand on the beach indicates he is standing, so the boy would not be sleeping simultaneously."
12987,582788646.jpg#1r4n,582788646.jpg,A small child was swimming.,neutral,The child is not actually swimming but is standing in water at the beach.
4726,7012109893.jpg#3r1e,7012109893.jpg,a child was there,entailment,No common sense reason that a child would be on a roof in the cold.
2296,7012109893.jpg#4r1c,7012109893.jpg,The woman fell while cleaning the roof.,contradiction,A man is not the same as a woman.
10133,7012109893.jpg#4r1n,7012109893.jpg,A tree fell on the roof.,neutral,"Label: NeutralExplanation: All we see is a man on the roof, we don't see anything falling in the picture."
3335,16630920.jpg#0r3e,16630920.jpg,The rugs have patterns.,entailment,rugs have patterns is a rewording of colourfully patterned rugs
3333,16630920.jpg#0r3c,16630920.jpg,The rugs have no patterns.,contradiction,"All the while a man is selling colorfully patterned rugs enjoys a drink from a coffee cup on a sunny day, couldn't very well have rugs with no patterns."
10123,16630920.jpg#3r1n,16630920.jpg,A merchant is selling his rugs at the marketplace.,neutral,"There is nothing to indicate that the man is a merchant or not a merchant, nor anything showing whether the rugs are for sale or not for sale. There doesn't appear to be a marketplace in the photo, but we can not know for sure whether he is or is not at a marketplace."
7179,5194023863.jpg#4r1e,5194023863.jpg,The girl is holding an insect.,entailment,A large snail is a type of insect.
7180,5194023863.jpg#4r1c,5194023863.jpg,The girl is holding a puppy.,contradiction,The subject cannot be holding a puppy if she holds a snail.
9604,5194023863.jpg#4r1n,5194023863.jpg,The girl is showing off her pet.,neutral,It is a girl showing off a snail but it may or may not be her pet.
6033,253924161.jpg#0r2e,253924161.jpg,A man and woman sit side by side at a table.,entailment,A man and woman sit side by side at a table implies a man with gray hair and a blond woman
6026,253924161.jpg#0r2c,253924161.jpg,The two men stand by the table.,contradiction,"The two people are either men, or they are a man and a woman."
10557,253924161.jpg#3r1n,253924161.jpg,A tall human sitting,neutral,The photo is not detailed enough to determine how tall the human is.
1015,3616525288.jpg#3r1e,3616525288.jpg,People ride horses.,entailment,Jockeys are people.
7809,3616525288.jpg#0r1c,3616525288.jpg,Horse jockeys are riding goats in a race.,contradiction,The jockeys can't be racing horses and riding goats at the same time.
13365,3616525288.jpg#3r1n,3616525288.jpg,People ride horses at the Kentucky Derby.,neutral,This picture shows people that ride horses but no proof it's at the Kentucky Derby
229,4734146340.jpg#0r2e,4734146340.jpg,Two men are wearing glasses.,entailment,"Both men were described as wearing glasses, so there are two men wearing those glasses."
224,4734146340.jpg#3r1c,4734146340.jpg,A man wears shorts and sits by a fountain.,contradiction,You can't be supporting a cause when he sits at a fountain.
12334,4734146340.jpg#4r1n,4734146340.jpg,A elderly male with a hiking stick.,neutral,"Whether the elderly male is holding a hiking stick or not, is unclear from the image."
6737,3619322150.jpg#0r1e,3619322150.jpg,A couple is in clothes.,entailment,a young couple is a couple and red outfits are clothes
6738,3619322150.jpg#0r1c,3619322150.jpg,No one is dancing.,contradiction,A young couple is performing a dance.
10631,3619322150.jpg#3r1n,3619322150.jpg,Two people are on a date.,neutral,The photo does show two people together and they appear to be a couple but you can not tell if they are on a date or not.
14171,3761067976.jpg#1r1n,3761067976.jpg,A girl is holding a rose.,entailment,A little girl is holding a rose in her right hand
8993,3761067976.jpg#3r1c,3761067976.jpg,A girl wears a pink dress.,contradiction,Yellow and pink are different colors.
13564,3761067976.jpg#2r1n,3761067976.jpg,A girl is pointing at a balloon in the air.,neutral,It is unclear by the picture what the girl is pointing at and if it is a balloon or not.
8761,4948403203.jpg#0r1e,4948403203.jpg,A guy is reading a newspaper outdoors.,entailment,A man is a guy.
8763,4948403203.jpg#4r1c,4948403203.jpg,A man is walking down a beach.,contradiction,One cant be walking and sits simultaneously.
13374,4948403203.jpg#1r1n,4948403203.jpg,A police officer reads a newspaper at the beach.,neutral,The man might just be an ordinary citizen and not a police officer.
7905,6053720349.jpg#1r1e,6053720349.jpg,A kid is inside of an open container.,entailment,A child in a suitcase means they are inside an open container.
7903,6053720349.jpg#4r1c,6053720349.jpg,man eats hot dog,contradiction,A baby is not a man and a suitcase is not a hot dog.
7906,6053720349.jpg#1r1n,6053720349.jpg,A child is happy and excited while sitting insde a container.,neutral,A child with a pacifier in its mouth is sitting in a suitcase does not indicate that a child is happy and excited while sitting insde a container.
2744,3691394196.jpg#3r1n,3691394196.jpg,A street performer is juggling.,entailment,A street performer would be juggling fire on a street corner.
2747,3691394196.jpg#1r1c,3691394196.jpg,The man is holding a cellphone.,contradiction,The man is either holding a torch or a cell phone.
14225,3691394196.jpg#2r1n,3691394196.jpg,A magician is doing a show with fire.,neutral,"There is a performer doing a show with fire. However, he may simply be a street performer and not a magician."
2250,3475111806.jpg#4r1e,3475111806.jpg,A person is taking a picture.,entailment,A man is a person and in a crowd is where the man is taking a picture.
2246,3475111806.jpg#1r1c,3475111806.jpg,Two women at the theater are turning off their cellphones.,contradiction,Either it is two men or two women.
11545,3475111806.jpg#1r1n,3475111806.jpg,Three men at a Nickelback concert are wishing they were somewhere else.,neutral,there are more than three men not in the crowd
919,732671252.jpg#4r1e,732671252.jpg,The boys are not standing.,entailment,"If boys are sitting, then they can not be standing."
924,732671252.jpg#1r1c,732671252.jpg,The children are running around the trampoline.,contradiction,They can't be both sitting and running around.
13087,732671252.jpg#0r1n,732671252.jpg,Two boys talk to each other about sports.,neutral,"In the photo, the two boys are talking, however their talk could be about sports or anything else."
3883,5086989679.jpg#3r1e,5086989679.jpg,The gymnast has a painted face.,entailment,with and has are the same thing
12109,5086989679.jpg#3r1n,5086989679.jpg,The gymnast has her face painted red.,contradiction,The man face is painted white.
10936,5086989679.jpg#1r1n,5086989679.jpg,A man is about to use the balance bar.,neutral,"He is doing gymnastics, but it does not appear that he is about to use the balance bar."
1448,4791485167.jpg#3r1e,4791485167.jpg,the man is digging,entailment,A man that digs in the snow is digging.
1449,4791485167.jpg#3r1c,4791485167.jpg,The lady in paints is playing in the sand.,contradiction,It cannot be both a man and a woman at once. It is not usually sunny if there is snow on the ground. A lady would not wear pants to the beach.
11754,4791485167.jpg#0r1n,4791485167.jpg,The woman is clearing her driveway of snow.,neutral,I cannot infer from the picture if this is a woman or man and it is unclear where they are clearing the snow from.
7583,4326893429.jpg#1r1e,4326893429.jpg,Men outside.,entailment,Men sledding are outside.
7586,4326893429.jpg#4r1c,4326893429.jpg,The people are going up the mountain on a ski lift.,contradiction,People cannot ride up and down a mountain at the same time.
13636,4326893429.jpg#1r1n,4326893429.jpg,Five co-workers sledding.,neutral,"The people are sledding, but we do not know that they are co-workers."
14496,4283472819.jpg#3r1n,4283472819.jpg,A man is doing ski tricks.,entailment,The man appears to be doing some type of tricks on skis.
3198,4283472819.jpg#4r1c,4283472819.jpg,A man is falling down from above.,contradiction,A person cannot be on skis and falling down at the same time.
10686,4283472819.jpg#2r1n,4283472819.jpg,an olympic skier does a gold winning stunt,neutral,Can't see a gold winning stunt.
3801,4606967207.jpg#1r1e,4606967207.jpg,the man's cat sits next to him while he cooks,entailment,A cat who sits next to a man cooking is a cat who sits.
11910,4606967207.jpg#1r1n,4606967207.jpg,the cat wants the food he's cooking,contradiction,"The cat ignores the food, it likely wants attention."
10162,4606967207.jpg#2r1n,4606967207.jpg,An Asian man is cooking dumplings.,neutral,The man is cooking but the picture isn't clear enough to see he's making dumplings.
12848,4673314291.jpg#4r1n,4673314291.jpg,Bystanders like poles.,entailment,"we have three bystanders,  and all of them are sitting in a pole, so, we can say they like them, since all seem relaxed, enjoying the moment"
7549,4673314291.jpg#2r1c,4673314291.jpg,Two men eat pizza in a restaruant.,contradiction,metal bollards and restaurant are different places
12517,4673314291.jpg#3r1n,4673314291.jpg,Three people are sitting and waiting patiently.,neutral,We are not sure if the three people are waiting patiently.
6795,3219606.jpg#4r1e,3219606.jpg,People are singing.,entailment,A choir sings.
6796,3219606.jpg#4r1c,3219606.jpg,A pastor is delivering his sermon.,contradiction,A choir is not a pastor.
10084,3219606.jpg#3r1n,3219606.jpg,There are 7 year old children on stage.,neutral,"They could be 7, or they could be young."
3161,7173939318.jpg#4r5e,7173939318.jpg,There is a water mass nearby,entailment,There must be water nearby for a dock and boats to be present.
3154,7173939318.jpg#0r1c,7173939318.jpg,A ship is sailing in the great lakes.,contradiction,It is not possible for a ship to be both in middle-eastern territory and the great lakes at the same time.
9813,7173939318.jpg#4r2n,7173939318.jpg,A group of people are having a boat viewing.,neutral,It is not apparent from the image whether or not they are having a boat viewing.
3010,439916996.jpg#0r1e,439916996.jpg,a woman ina  blue jacket watcher her dogs play,entailment,A woman watches her dogs play.
3011,439916996.jpg#0r1c,439916996.jpg,a woman in a red jacket watchers her two dogs play,contradiction,A woman in a blue and red jacket
13334,439916996.jpg#1r1n,439916996.jpg,A dog plays in the park with his owner on a sunny day.,neutral,The dog looks to be playing in a yard not in a park.
4161,4550700462.jpg#4r1e,4550700462.jpg,The boy is holding a flag.,entailment,The boy could only be holding a flag is he is with the flag.
4160,4550700462.jpg#2r1c,4550700462.jpg,The son is sleeping.,contradiction,The son is either walking or sleeping.
10802,4550700462.jpg#0r1n,4550700462.jpg,The woman and boy are in Mexico.,neutral,We cant assure that The woman and boy are in Mexico.
9329,7796487260.jpg#4r1e,7796487260.jpg,The pool is not full of water.,entailment,'empty' pool implies not full of water
7416,7796487260.jpg#2r1c,7796487260.jpg,A young woman is sitting on a couch,contradiction,either move on one hand and a sitting couch are not same.
9977,7796487260.jpg#3r1n,7796487260.jpg,A girl is training gymnastic moves for a competition.,neutral,"The girl is training gymnastic moves, however, we do not know that this is for a competition."
9845,122301379.jpg#4r1n,122301379.jpg,The two men cut down the trees.,entailment,There are two men in the picture wearing working gloves and a chainsaw in between them with a bunch of trees down.
8104,122301379.jpg#1r1c,122301379.jpg,There are two women at a bar.,contradiction,"Men are not women, and woods are not found in a bar."
9622,122301379.jpg#3r1n,122301379.jpg,Men are cutting down trees for lumbar for the nearby house.,neutral,Two men are standing by some fallen trees. It is not clear if they cut them down or if there is a nearby house.
9890,125635185.jpg#3r1n,125635185.jpg,Some children are outdoors.,entailment,Label: EntailmentExplanation: There are three children outdoors depicted in the photo.
5074,125635185.jpg#0r2c,125635185.jpg,Three children are playing indoors,contradiction,Three children cannot at the same time be playing outdoors and playing indoors.
13993,125635185.jpg#0r2n,125635185.jpg,Three children are at a park near their houses.,neutral,"There are two children playing, but we don't know if it is a park or near their houses."
12199,4791975111.jpg#0r1n,4791975111.jpg,A woman is leered at as she crosses the street.,entailment,A man does appear to be looking at the woman who is crossing the street.
10832,4791975111.jpg#1r1n,4791975111.jpg,A man is waiting for a women to get on his bike.,contradiction,"This man is just looking back at the woman to get on his bike, no real explanations."
10928,4791975111.jpg#2r1n,4791975111.jpg,The man is attracted to the woman.,neutral,The man is looking at the woman and seems to be attracted.
5789,1097710887.jpg#3r1e,1097710887.jpg,A little girl is playing outside.,entailment,A girl blowing bubbles in a field would be the same as a girl playing outside.
7410,1097710887.jpg#0r5c,1097710887.jpg,A young girl is carrying a hula hoop at the playground.,contradiction,A bubble solution is not the same as a hula hoop.
13615,1097710887.jpg#2r4n,1097710887.jpg,A little child is dressed to go to church.,neutral,We cant assure that A little child is dressed to go to church.
7842,2463394631.jpg#2r1e,2463394631.jpg,A man is bent over.,entailment,bending refers to bent.
7845,2463394631.jpg#0r1c,2463394631.jpg,A man is wearing a tank-top.,contradiction,one man is in a camouflage sweatshirt while the other is in a tank-top
13337,2463394631.jpg#2r1n,2463394631.jpg,A soldier is bending over.,neutral,A man is bending over on the ground. Don't know if he is a soldier.
11394,370445133.jpg#2r1n,370445133.jpg,A cowboy is trying to earn a good score in his event of the rodeo.,entailment,This cowboy is participating in an event in a rodeo called barrel racing.
2237,370445133.jpg#1r1c,370445133.jpg,The hat is a baseball cap.,contradiction,A baseball cap and cowboy hat are not the same type of hat.
12646,370445133.jpg#1r1n,370445133.jpg,The man is talented at riding.,neutral,The man in the picture may be talented in riding a horse
6605,449352117.jpg#3r1e,449352117.jpg,There is a dog in this picture.,entailment,A small dog is still a dog.
6604,449352117.jpg#3r1c,449352117.jpg,The dog is running free as his owner chases him across the field.,contradiction,A dog cannot be chewing while running free.
2810,449352117.jpg#2r1n,449352117.jpg,A small dog is looking through the lens of a camera.,neutral,Just beause a dog is standing behind a camera it does not mean he is looking through the lens.
8418,4768270751.jpg#4r1e,4768270751.jpg,A young woman creates art,entailment,a young woman paints a art on community
5978,4768270751.jpg#1r1c,4768270751.jpg,A man in a t-shirt paints on a large piece of paper on the ground.,contradiction,A woman and a man are not the same person.
10286,4768270751.jpg#4r1n,4768270751.jpg,A young woman paints on a large community mural for a third day in a row,neutral,a womans paints
8588,2987588136.jpg#0r1e,2987588136.jpg,Asian women are hugging each other.,entailment,Hugging each other is another way of saying to hug one another.
5664,2987588136.jpg#4r4c,2987588136.jpg,Two women watch tv,contradiction,Hugging is not watching TV.
12978,2987588136.jpg#0r1n,2987588136.jpg,Asian women have just purchased a car.,neutral,Nothing to suggest or confirm they have just purchased the car in the background.
5220,2313551145.jpg#3r1e,2313551145.jpg,a man is walking,entailment,There is a man walking to his destination.
5218,2313551145.jpg#2r1c,2313551145.jpg,The man is drinking beer in the pub.,contradiction,Holding and drinking are different.
10337,2313551145.jpg#3r1n,2313551145.jpg,the man is fifty,neutral,The age fifty cannot be detected by looks.
3943,2858456847.jpg#0r1e,2858456847.jpg,a woman is posing,entailment,African woman poses for picture with infant
3942,2858456847.jpg#0r1c,2858456847.jpg,the woman is naked,contradiction,A woman in a turban cannot be naked.
12822,2858456847.jpg#3r1n,2858456847.jpg,African woman smiling while holding her child after an earthquake.,neutral,we cant assure that  African woman smiling while holding her child after an earthquake.
9379,6952893010.jpg#2r1e,6952893010.jpg,There are four boats in the middle of the water.,entailment,Large sailboat surrounded by three small boats are four boats.
14693,6952893010.jpg#2r1n,6952893010.jpg,A large boat with a green flag on the back is towering above three smaller boats with the same flag.,contradiction,"Only one of the three smaller boats has a green flag, the same flag they have is orange, and the boat towering above he three has no green flag."
12902,6952893010.jpg#1r1n,6952893010.jpg,A blue and gray sailboat is losing a race.,neutral,we cant assure that A blue and gray sailboat is losing a race
1149,3562606482.jpg#0r1e,3562606482.jpg,Some people are walking in a field,entailment,Some people walking in a field is a man and a woman.
1148,3562606482.jpg#4r1c,3562606482.jpg,Two people are working in an office.,contradiction,The location is either a field or an office.
13741,3562606482.jpg#4r1n,3562606482.jpg,Two people are walking in town.,neutral,"Two people are walking, but in a park in town."
5878,345284642.jpg#0r1e,345284642.jpg,An animal carries something through the snowy field.,entailment,The brown dog is the animal and holding an object in it's mouth is the way a dog would carry something and a snowy field is outdoors.
5877,345284642.jpg#0r1c,345284642.jpg,The brown dog swims to shore with the frisbee in his mouth.,contradiction,One never swims in grass.
14219,345284642.jpg#2r1n,345284642.jpg,The dog in the field is named FIDO,neutral,"The dog in the field is named ""FIDO"" is not indicated. Can not see dog tags."
12548,524360969.jpg#0r1n,524360969.jpg,A woman is helping to direct traffic near a construction site.,entailment,Two people wearing safety clothes and carrying traffic signs stand next to a construction site on a city street.
6133,524360969.jpg#3r1c,524360969.jpg,The people are flying kites at the beach.,contradiction,construction site is different from the beach.
13089,524360969.jpg#3r1n,524360969.jpg,The flaggers are waiting for traffic to direct.,neutral,Not clear if waiting
3288,3996889070.jpg#0r1e,3996889070.jpg,"A young child is outside, petting a deer.",entailment,deer resembles a baby
3577,3996889070.jpg#4r1c,3996889070.jpg,Children pet a bunny.,contradiction,Bunnies and deer are different animals.
11155,3996889070.jpg#0r1n,3996889070.jpg,"A young child is outside, petting her friend's deer on a farm.",neutral,We cannot tell who the deer belongs to.
280,3157745346.jpg#0r1e,3157745346.jpg,A person is paying for transportation.,entailment,A bicyclist implies a person.
7092,3157745346.jpg#4r1c,3157745346.jpg,A man is talking to a teller at the bank.,contradiction,"If the man is at the ATM, he is not talking to a teller."
12830,3157745346.jpg#3r1n,3157745346.jpg,A competitive bicyclist gets money out of an ATM.,neutral,"Assuming that the man is getting money out of an ATM, it's unclear whether he's a competitive bicyclist."
647,259510411.jpg#4r1e,259510411.jpg,A woman stands near a painting.,entailment,The painting of a cow is a painting and the woman is standing in front of it which is near it.
14642,259510411.jpg#3r1e,259510411.jpg,The woman is admiring a picture.,contradiction,no the woman is not admiring a picture she is tooking photo with the picture
13510,259510411.jpg#0r1n,259510411.jpg,A woman is breaking her diet by eating ice cream for the first time in a month.,neutral,"The woman is eating ice cream, but we don't know if it is the first time in a month or not. We also don't know if she is on a diet."
8650,421153376.jpg#1r1e,421153376.jpg,A dog running outside,entailment,runs through marsh implies running outside
8654,421153376.jpg#2r1c,421153376.jpg,The white dog is dry.,contradiction,The dog could not be dry if it were running through water.
9869,421153376.jpg#3r1n,421153376.jpg,A 2 year old puppy runs through water.,neutral,"a 2 year old puppy runs through water, but its exact age cannot be specified."
7821,3421131122.jpg#0r1e,3421131122.jpg,The kayaker is outside holding an oar.,entailment,Waves are from water that is outside.
7817,3421131122.jpg#2r1c,3421131122.jpg,Boat rider is absolutely dry.,contradiction,"If the kayak rider is splashed with water, he cannot be dry."
11198,3421131122.jpg#1r1n,3421131122.jpg,A man is going down a river in a kayak.,neutral,"There is a man in a kayak but it could be any body of water, not just a river."
4060,2786245676.jpg#2r1e,2786245676.jpg,A small boy is happy.,entailment,"When the small boy holds something in his hand and smiles, he is happy"
4053,2786245676.jpg#4r1c,2786245676.jpg,A boy yelling with a baseball bat.,contradiction,The boy was smiling not yelling and someting in his hand could be a baseball but we dont know that.
13128,2786245676.jpg#4r1n,2786245676.jpg,A boy stole something from a store.,neutral,"Whatever the boy has in his hand, there is no reason to think he stole it or came from a store."
10554,6841943688.jpg#3r1n,6841943688.jpg,A person is holding a instrument.,entailment,"yes,A person is holding a instrument."
1590,6841943688.jpg#0r1c,6841943688.jpg,A man is playing a flute.,contradiction,A man cannot be playing a saxophone and a flute at the same time.
10077,6841943688.jpg#2r1n,6841943688.jpg,The saxophone player is recording a new jazz song.,neutral,"The man is playing the saxophone, however there is not enough evidence to infer that he is recording a new jazz song."
7170,2842439618.jpg#4r1e,2842439618.jpg,The surfer is riding down a large wave.,entailment,A person standing on a surfboard is called a surfer.
7163,2842439618.jpg#3r1c,2842439618.jpg,A dog is eating an avocado.,contradiction,"The someone who is surfing cannot be a dog, dogs don't generally eat avocados."
9772,2842439618.jpg#1r1n,2842439618.jpg,Two surfers out surfing in the early morning.,neutral,"There are two surfers that are out surfing, however there is no evidence to suggest the time of day is early morning (though, that is usually the best time)."
4088,3217187564.jpg#1r2e,3217187564.jpg,Dogs competing in a race.,entailment,Dogs running in a race are competing with each other.
10676,3217187564.jpg#1r1n,3217187564.jpg,Three dachsunds run in a weiner dog race.,contradiction,There are three dogs in a race which are not dachsound or weiner dog but they are greyhounds.
12954,3217187564.jpg#3r1n,3217187564.jpg,Three race dogs chase a fake rabbit towards the finish line.,neutral,The dogs are wearing race uniforms. There is no evidence of a finish line or a fake rabbit.
4913,1313961775.jpg#1r4e,1313961775.jpg,A girl wears a life jacket.,entailment,The girl is young and wears a life jacket so she can float in the lake.
4905,1313961775.jpg#2r4c,1313961775.jpg,A little girl learning to ride a bike.,contradiction,One cannot ride a bike in the water.
12670,1313961775.jpg#0r5n,1313961775.jpg,A young girl floats down the river.,neutral,we cant assure that  A young girl floats down the river.
63,5925544950.jpg#0r1e,5925544950.jpg,A girl is fishing.,entailment,A girl with red cap is fishing
61,5925544950.jpg#2r1c,5925544950.jpg,There is a woman in a black cap.,contradiction,Red is not black.
12104,5925544950.jpg#2r1n,5925544950.jpg,The woman enjoys fishing.,neutral,She's fishing but we cannot see any enjoyment from her face
3780,5631556013.jpg#4r1e,5631556013.jpg,A person is jumping into water.,entailment,a boy is a person
3774,5631556013.jpg#2r1c,5631556013.jpg,There is a man sitting,contradiction,One cannot be sitting and jumping at the same time.
9884,5631556013.jpg#0r1n,5631556013.jpg,a boy jumps into the pool,neutral,we cant assure that a boy jumps into the pool
2680,4443088094.jpg#4r1e,4443088094.jpg,The women are walking in the street.,entailment,A sidewalk is always part of a street.
2678,4443088094.jpg#3r1c,4443088094.jpg,The women are sitting on a couch.,contradiction,The women cannot be walking down a street and sitting on a couch simultaneously.
1871,4443088094.jpg#1r1n,4443088094.jpg,A woman is in New York City.,neutral,"New York City is a large city, but not the only large city."
3378,1546632452.jpg#0r2e,1546632452.jpg,A boy having fun outdoors.,entailment,A trampoline is outdoors.
13532,1546632452.jpg#4r1n,1546632452.jpg,A girl jumps on a blue trampoline.,contradiction,It looks to be a small boy jumping on a blue trampoline.
13106,1546632452.jpg#0r5n,1546632452.jpg,A little boy with read hair is doing his exercises on the trampoline at school.,neutral,we cant assure that A little boy with read hair is doing his exercises on the trampoline at school.
7282,3553056438.jpg#2r1e,3553056438.jpg,Two kids are sitting,entailment,bales of hay give context to where they're sitting
7283,3553056438.jpg#2r1c,3553056438.jpg,The kids are at the beach,contradiction,The children cannot be sitting on bales of hat and also at the beach simultaneously.
12331,3553056438.jpg#4r1n,3553056438.jpg,The little boy and the girl are in a barn.,neutral,we cant assure that The little boy and the girl are in a barn.
7684,1554713437.jpg#2r5e,1554713437.jpg,a dogs walks on a downed tree,entailment,Downed means fallen.
7679,1554713437.jpg#2r4c,1554713437.jpg,A fat dog sits on a cushion.,contradiction,"The dog cannot be fat and skinny at the same time, and cannot be walking when it sits"
