Unnamed: 0,pairID,Flickr30kID,hypothesis,gold_label,explanation,generated_caption,predicted_label
908,2952320230.jpg#0r1c,2952320230.jpg,A man is falling down stairs.,contradiction,A woman is not a man. Swinging a tennis racket is not falling down stairs.,"The image shows a Black female tennis player in action on a green tennis court. She is wearing a white cap, white skirt, white socks, and white sneakers. She is holding a tennis racket and is in the middle of swinging it, preparing to hit a ball. The court has blue bleachers behind it, and a white chair is visible to the right of the player.",contradiction
9178,2952320230.jpg#2r1n,2952320230.jpg,The tennis player practiced swinging the racket.,neutral,It's not necessarily true that the player practiced swinging.,"The image shows a Black female tennis player, wearing a white cap, white tennis skirt, white socks, and white athletic shoes, in action on a tennis court. She is mid-swing with a tennis racket, focused intently on the ball. The court is green with blue bleachers in the background, and there is a tennis chair visible in the periphery.",entailment
7596,191592626.jpg#0r1e,191592626.jpg,A man is rock climbing.,entailment,the helmet and backpack just further describe the man,"The image shows a person wearing climbing gear – a helmet, harness, and backpack – carefully ascending a steep, rocky cliff face. The rock is reddish-brown and heavily textured. The person is using their hands and feet to grip the rock and move upwards. Behind them, a large, snow-covered mountain range is visible, providing a dramatic backdrop.",entailment
7598,191592626.jpg#4r1c,191592626.jpg,The man is sitting on the couch.,contradiction,A man who climbs is not sitting. The location is either a couch or mountain.,"The image shows a person, likely a climber, ascending a steep, reddish-brown rock face in a mountainous environment. The climber is wearing climbing gear, including a helmet, harness, and boots. They are using their hands and feet to grip the rock and move upwards. Behind the climber, there are large, snow-capped mountains in the background. The rock face is textured and uneven.",contradiction
14325,191592626.jpg#4r1n,191592626.jpg,The man is young.,neutral,Being young is relative.,"The image shows a man climbing a steep, reddish-brown rock face in a mountainous environment. He is wearing climbing gear, including a helmet, harness, and boots. A rope is attached to a higher point, likely a belay station. The background features a large, snowy mountain range. He is actively using his hands and feet to grip the rock and move upwards.",neutral
5679,3747007211.jpg#2r1e,3747007211.jpg,A skier is about to descend.,entailment,Preparing means about to ski.,"The image shows a skier wearing skis and a backpack on a snowy slope. The slope has well-defined tracks indicating previous skiers. There are also red markers indicating the trail number ""12"". In the background, a range of snow-covered mountains can be seen under a clear blue sky. The skier is facing forward, poised to descend the slope.",entailment
5682,3747007211.jpg#1r1c,3747007211.jpg,A man tubing on snow with mountains in the background.,contradiction,"If he skies, he cannot be tubing at the same time.","The image shows a single skier on a snow-covered ski slope. The slope is marked with a red sign indicating trail number 12. The snow appears to be packed down into clearly defined tracks. In the background, there are several snow-covered mountains under a bright blue sky. A person wearing a jacket, pants, gloves, and a backpack is seen skiing.",contradiction
12280,3747007211.jpg#4r1n,3747007211.jpg,A young lad looking down a mountain.,neutral,We cant assure that the A young lad looking down a mountain.,"The image shows a skier wearing a backpack and warm clothing, standing on a snowy ski run. The skier is facing away from the viewer, moving down a slope. In the background, there are snow-covered mountains under a clear blue sky. A red sign indicating trail number 12 is visible on the right side of the frame. The snow appears packed and well-maintained for skiing.",neutral
2139,2841909138.jpg#1r1e,2841909138.jpg,A girl's feet are exposed.,entailment,"""A girl wearing sandals"" implies that her feet are exposed.","The image shows an outdoor scene featuring a woman sitting at an outdoor table, likely at a cafe or restaurant. She is wearing light-colored pants, a light-colored shirt, and sandals. A cup of coffee is on a nearby table. Another woman is sitting in a chair behind her, partially visible. The chairs have woven wicker backs and padded seats. The sunlight casts shadows across the scene.",entailment
2138,2841909138.jpg#1r1c,2841909138.jpg,A girl is inside watching tv,contradiction,"The girl cannot be outside in a chair, while watching tv inside.","The image shows a woman sitting outdoors at a cafe table. She is wearing a light-colored top and white pants, with a ponytail. She is focused on writing in a notebook with a pen. A cup of coffee is on the table to her left. In the background, another woman is seated at a table nearby.",contradiction
12052,2841909138.jpg#0r1n,2841909138.jpg,The woman is an author.,neutral,"Even though the woman is jotting down something in a book it could be her financial planner, day planner or even be writing her journal or a book. She may exactly not be an author.","The image shows a woman sitting outdoors at what appears to be a cafe or restaurant. She is seated in a wicker chair with white pants and a light-colored shirt. She is holding a notebook and pen and appears to be writing or taking notes. A cup of coffee is on a table nearby, and another person is partially visible in the background, wearing a black top and a dark hair accessory. Sunlight is casting strong shadows across the scene.",neutral
5101,2147866213.jpg#3r1e,2147866213.jpg,A man has a a dog and a beer.,entailment,A man is sitting in a chair with his dog and a beer in hand is that the man has a dog and beer,"The image shows a young man sitting in a large, patterned armchair. He is wearing glasses, a dark blue T-shirt with a graphic of Grover, and blue jeans. He is holding a beer in his hand. He is holding a small, grey rabbit in his other arm, and a leash is attached to the rabbit. There is a small, white pet rabbit sitting on the arm of the chair. A checkered rug is visible in the background, along with a small chair and some items on a nearby table.",entailment
5102,2147866213.jpg#3r1c,2147866213.jpg,The dog is talking about beer to his master.,contradiction,A dog cannot be talking about beer.,"The image shows a young man sitting in an armchair, wearing a dark t-shirt with a graphic design and glasses. He is holding a beer bottle and has a small grey rabbit sitting on his lap, with a leash attached. There’s a plate with what appears to be food on it, a checkered rug, and some miscellaneous objects on a nearby table. The room appears to be somewhat dimly lit.",neutral
10000,2147866213.jpg#2r1n,2147866213.jpg,The man is drinking beer while petting his dog.,neutral,Can not tell from image if he is holding a beer.,"The image shows a young man sitting in a large, patterned armchair. He is wearing a dark blue t-shirt with a graphic on it, jeans, and glasses. He is holding a bottle of beer in his right hand and appears to be petting a small, grey rabbit that is sitting on his lap. A leash is attached to the rabbit. There is a small, foldable chair visible in the background, along with a checkered rug and a small table with some items on it.",entailment
5146,1453366750.jpg#1r1e,1453366750.jpg,Two women are indoors.,entailment,A bed is normally found indoors.,"The image shows two young people, a woman and a boy, lying on a bed. The woman is lying on her side with her legs raised and is wearing a red shirt with text on it. The boy is lying on his back with his head turned towards the camera and wearing a black shirt. Both are indoors, with a blurred background suggesting a room.",entailment
6355,1453366750.jpg#4r2c,1453366750.jpg,The kids were sitting at their desks.,contradiction,both shown upside and sitting are not same.,"The image shows two young people, a girl and a boy, lying on a bed. The girl is wearing a red t-shirt with the words ""Lafayette Senators"" printed on it. The boy is wearing a black t-shirt with a similar logo. They are both lying on their backs, looking upwards, with their arms outstretched.",contradiction
9864,1453366750.jpg#4r4n,1453366750.jpg,Children are playing.,neutral,We cant assure that Children are playing.,"The image shows two young people, likely siblings, lying on a bed. The girl on the left is wearing a red t-shirt with the logo ""Nawatha Senators"" and has her hair pulled back in a ponytail. The boy on the right is wearing a black shirt with a similar logo, and has braces on his teeth. They are both lying on their backs and looking upwards with a relaxed posture.",neutral
2842,3640348910.jpg#3r1e,3640348910.jpg,A guy riding his skateboard in the air.,entailment,Indicates that the skateboarder is going off the ramp and in midair.,"The image shows a young man performing a skateboarding trick. He is mid-air, jumping over a small ramp or quarterpipe that is prominently displayed in the foreground. The ramp is painted with graffiti art and has a skateboard logo on it. The man is wearing casual clothing, including sneakers. Behind him is a wall covered in vibrant, large-scale graffiti murals. The background includes a cityscape and a security camera.",entailment
2845,3640348910.jpg#0r1c,3640348910.jpg,A windsurfer dives off his board into the river.,contradiction,Is it a skateboarder or a windsurfer,"The image shows a young man skateboarding on a ramp in an urban environment. He is performing a jump, with one foot leaving the board mid-air. The ramp is made of concrete and is covered in graffiti art. Behind the ramp, there are walls covered in vibrant, colorful graffiti murals. A partial view of a cityscape is visible in the background. There's a security camera mounted on the building.",contradiction
12292,3640348910.jpg#4r1n,3640348910.jpg,The person on the skateboard ramp is an expert at dangerous skateboard stunts,neutral,We do not know if he's an expert,"The image shows a young man performing a skateboard trick on a small concrete ramp. He’s in mid-air, executing a jump. The ramp is covered in graffiti, and the background includes a brick wall also covered in vibrant, colorful graffiti art. There is a security camera visible in the upper left corner. The overall setting appears to be an urban skatepark.",neutral
3679,3143991972.jpg#0r1e,3143991972.jpg,A woman spreads out a green blanket.,entailment,A woman is sitting on a green blanket that she had spread out.,"The image shows a woman sitting on a floor in what appears to be an airport or similar public space. She is wearing a purple shirt and glasses. A young baby is sitting on a green blanket on the floor, playing with a toy. There are several other people seated in the background, some with luggage and drinks. A chair is visible in the foreground.",entailment
3681,3143991972.jpg#4r1c,3143991972.jpg,The woman is alone.,contradiction,A woman and baby is different the just a woman,"The image shows a woman with a baby in a public space, likely an airport or similar travel area. The woman is seated on the floor with a green blanket and a toy. There's a baby in a carrier next to her, and several other people are sitting in the background, appearing to be waiting or traveling. Several suitcases and chairs are also visible.",neutral
11875,3143991972.jpg#4r1n,3143991972.jpg,The airport is busy.,neutral,The picture in the airport does not clearly shows that it was busy. there are vacant seat and only a couple of people seen in the picture.,"The image shows a woman with glasses sitting on the floor of what appears to be an airport waiting area. She is holding a small baby, who is lying on a green blanket surrounded by toys. Several other people are seated in chairs in the background, some with luggage. The floor is patterned with a dark, swirling design. There’s a cup of what looks like a drink on a chair in the foreground.",entailment
5185,3431671749.jpg#3r1e,3431671749.jpg,There is a car driving,entailment,A car can be on fire while driving.,"The image shows a dark-colored Aston Martin race car driving on a racetrack. The car is equipped with a large rear wing and is emitting a significant burst of flames from its exhaust. The track is marked with red and white stripes, and there is a grassy area visible in the background. The car is angled slightly, suggesting movement.",entailment
5186,3431671749.jpg#3r1c,3431671749.jpg,There is a car not moving,contradiction,not all cars are race car,"The image shows a black Aston Martin race car speeding around a racetrack. It has a large rear wing and is emitting a large, intense burst of flames directly from the rear exhaust. The car is in motion, and the track is visible in the background with red and white curbing.",contradiction
6688,3431671749.jpg#0r1n,3431671749.jpg,A smart car is zooming off with fire coming out of its exhaust pipe.,neutral,A car can be of any type and doesn't have to be a smart car.,"The image shows a dark-colored Aston Martin racing car driving on a racetrack. It has a prominent rear wing and a substantial plume of bright orange flames erupting from its exhaust pipe, directly behind the car. The car is angled slightly, suggesting movement and speed. The racetrack boundary is visible in the background.",entailment
5484,160541986.jpg#0r1e,160541986.jpg,A female is being photographed,entailment,A women is  a female. She poses for the camera so she is being photographed.,"The image shows a young woman dressed in a costume, possibly Renaissance-era or medieval, with elaborate detailing on her bodice and neck. She is wearing a white pearl necklace and a decorative brooch. Her hair is styled up with some small ornaments. The background is blurred and appears to be an outdoor setting with greenery. She is looking directly at the camera with a neutral expression.",entailment
2412,160541986.jpg#2r1c,160541986.jpg,A woman sleeping in her bed.,contradiction,A woman wearing antiquated clothing including many pearls would not be sleeping in her bed.,"The image shows a young woman dressed in a detailed, ornate historical costume. She has fair skin, light-colored eyes, and is wearing a black lace jacket with embellishments, a red and gold bodice, a white pearl necklace, and a decorative brooch with a large pearl. Her hair is styled up with decorative elements. The background is blurred, suggesting an outdoor setting with greenery.",contradiction
11719,160541986.jpg#2r1n,160541986.jpg,A woman going to the Grammy's.,neutral,The woman could be heading to somewhere else other than the Grammy's.,"The image shows a woman wearing a historical costume. She is dressed in a dark, lace-trimmed bodice with a red and gold decorative detail at the neckline, a white pearl necklace, and a decorative brooch. Her hair is partially braided and adorned with a small red flower. The background is blurred, appearing to be an outdoor setting with greenery.",contradiction
13995,20805896.jpg#2r1n,20805896.jpg,The two men are laughing.,entailment,The two men appeared to be laughing and having fun .,"The image shows two young men lying on a bed covered in blankets. A movie poster for ""The Sixth Sense"" is visible in the background. One man is smiling and looking upwards, while the other is grinning and looking towards the first man. Both appear to be relaxed and comfortable.",entailment
6972,20805896.jpg#4r1c,20805896.jpg,Two women lay out to tan.,contradiction,they can't be both women and men.,"The image shows two young men, one on the left and one on the right, lying on a large, cushioned sofa covered in blankets. The man on the left is smiling and appears to be looking upwards. The man on the right is partially covered by a blanket and also smiling. A movie poster featuring the film ""The Sixth Sense"" is visible in the background.",contradiction
14233,20805896.jpg#4r1n,20805896.jpg,The two men are a couple.,neutral,There is no evidence the two men are a couple.,"The image shows two young men, one with dark hair and the other with blond hair, lying on a sofa covered with blankets. Both men are smiling and appear relaxed. A movie poster featuring the film ""The Shining"" is visible in the background. The sofa is green, and there is a white blind in the background.",neutral
14666,5661511556.jpg#0r5n,5661511556.jpg,Some people are wearing sneakers.,entailment,people are wearing sneakers in the background,"The image shows a group of people working together to build a raised garden bed. There is a young boy wearing a striped long-sleeved shirt and gray pants, bending over to attach a wooden board to the frame of the bed. An adult, wearing a gray hoodie, is assisting him, also wearing gloves and a gray sweatshirt. Other people are standing in the background, some holding tools. The ground is covered in dirt and mulch.",entailment
5605,5661511556.jpg#0r1c,5661511556.jpg,a boy plays at an arcade,contradiction,People are in a garden space together where a boy holds a wooden frame of a raised plant bed. This garden space is not at an arcade which is where the other boy is.. A garden and an arcade are two different places,"The image shows a group of people, including a young Black boy, working together to build a raised garden bed outdoors. Several adults are assisting, and other children are also present. The construction involves wooden planks forming the sides of the bed, with soil visible in the center. The scene takes place in a grassy area with a fence in the background.",contradiction
11496,5661511556.jpg#0r3n,5661511556.jpg,The young Black boy is helping with some new plants.,neutral,"do not know if the young boy is helping with plants, looks like wood","The image shows a group of people working together outdoors on what appears to be a gardening project. A young Black boy is bending over and attaching a wooden board to a raised garden bed. There is soil in the bed, and several other people are assisting or observing the construction. A man wearing a green shirt and jeans is holding a shovel, and another person is wearing a gray jacket and a black and white striped shirt. The background shows a fence and some trees.",entailment
7879,484280924.jpg#0r3e,484280924.jpg,The man is inside a building.,entailment,he  almost the same as man,"The image shows a brightly lit kitchen environment. A young Asian man, wearing a white chef’s coat and apron, is actively cooking in a large wok. He is holding a spatula and appears to be serving food from the wok into a cardboard box. Behind him, partially obscured, are two other men in the kitchen wearing aprons. There are various cooking utensils and equipment visible, including pots, pans, and ventilation hoods. The overall impression is of a busy restaurant kitchen.",entailment
2750,484280924.jpg#4r1c,484280924.jpg,The man is angrily making food.,contradiction,The man can't be doing it both angrily and happily.,"The image shows a young Asian man wearing a white chef's coat and apron, smiling broadly while working in a busy commercial kitchen. He is using a spatula to move food from a large wok to a takeout container. Behind him, there are two other men wearing aprons standing nearby. The kitchen is stainless steel and appears to be a professional restaurant setting with cooking equipment, steam, and various pots and pans.",neutral
7884,484280924.jpg#0r4n,484280924.jpg,A man is making sushi to-go,neutral,Just because an Asian chef is working in the kitchen does not mean the man is making sushi to-go.,"The image shows a brightly lit kitchen scene. A young Asian man in a white chef's coat and apron is smiling and working at a large wok station. He is using tongs to move food from a wok into a takeout container. There are other people visible in the background, wearing aprons and standing at the edges of the kitchen, suggesting they are also working. Various cooking equipment, pots, and pans are present. Steam is visible rising from the wok.",contradiction
6591,582788646.jpg#3r4e,582788646.jpg,The boy is wearing floaties as a safety precaution to prevent drowning.,entailment,The boy is wearing floaties with his feet in the sand on the beach,"The image shows a young boy, likely a child, standing in shallow, clear water on a beach. He is wearing blue and pink inflatable arm floaties. His hair is blonde and curly, and he is looking down at the water. There is wet sand and some rocks visible around him. The water is sparkling in the sunlight.",entailment
6587,582788646.jpg#3r3c,582788646.jpg,A boy is sleeping,contradiction,"His feet in the sand on the beach indicates he is standing, so the boy would not be sleeping simultaneously.","The image shows a young boy, likely a child, standing in shallow water on a beach. He is wearing bright blue swim wings and pink bottoms. The water is light blue and there is a gentle wave washing over the sand near his feet. A small pile of sand and some rocks are visible. The boy is bending forward, appearing to be interacting with the water.",contradiction
12987,582788646.jpg#1r4n,582788646.jpg,A small child was swimming.,neutral,The child is not actually swimming but is standing in water at the beach.,"The image shows a young child, likely a toddler, standing in shallow water on a beach. The child has blonde curly hair and is wearing bright blue and pink inflatable arm floatation devices. Their body is bent forward, and they are looking down at the water. There is a small pile of sand and rocks near the child's feet. The water is clear and reflects the sunlight.",neutral
4726,7012109893.jpg#3r1e,7012109893.jpg,a child was there,entailment,No common sense reason that a child would be on a roof in the cold.,"The image shows a cleaning worker, dressed in a blue jumpsuit and a hooded jacket, using a mop and bucket to clean a rooftop. In the background, there is a large, historic building with a bronze equestrian statue on top. Several other buildings and a modern concert hall can be seen in the cityscape beyond. The sky is overcast.",neutral
2296,7012109893.jpg#4r1c,7012109893.jpg,The woman fell while cleaning the roof.,contradiction,A man is not the same as a woman.,"The image shows a person, wearing a blue jumpsuit, a hooded sweatshirt, and gloves, standing on a rooftop. They are using a mop and bucket to clean a wet rooftop surface. In the background, there is a large building with a statue on top, likely the Brandenburg Gate in Berlin. The sky is overcast, and the scene appears to be cold.",contradiction
10133,7012109893.jpg#4r1n,7012109893.jpg,A tree fell on the roof.,neutral,"Label: NeutralExplanation: All we see is a man on the roof, we don't see anything falling in the picture.","The image shows a cleaning worker wearing a blue jumpsuit and a white hooded sweatshirt, standing on a rooftop. They are using a mop and bucket to clean a wet roof surface. In the background, there's a large, historic building with a statue atop it, along with other modern buildings and a cityscape visible in the distance. The sky appears overcast and gray.",contradiction
3335,16630920.jpg#0r3e,16630920.jpg,The rugs have patterns.,entailment,rugs have patterns is a rewording of colourfully patterned rugs,"The image shows an outdoor scene with a man sitting on a stoop outside a building. The building has a sign that says ""The Frame Shop - Custom Framing"". Several colorful rugs of various sizes and patterns are stacked against the building and covering the stoop. A chair and some other smaller rugs are also present. The man is holding a cup and appears to be observing the rugs. The overall atmosphere is bright and sunny.",entailment
3333,16630920.jpg#0r3c,16630920.jpg,The rugs have no patterns.,contradiction,"All the while a man is selling colorfully patterned rugs enjoys a drink from a coffee cup on a sunny day, couldn't very well have rugs with no patterns.","The image shows an outdoor scene of a street with colorful rugs and furniture displayed for sale. A man is sitting on one of the rugs, holding a cup. Behind him is a storefront with the words ""The Frame Shop - Custom Framing"" displayed on the sign. Several rugs of various colors and patterns are stacked against the storefront and steps. There is a wooden chair partially covered in a tan cloth. The overall setting appears to be a commercial area or a market.",entailment
10123,16630920.jpg#3r1n,16630920.jpg,A merchant is selling his rugs at the marketplace.,neutral,"There is nothing to indicate that the man is a merchant or not a merchant, nor anything showing whether the rugs are for sale or not for sale. There doesn't appear to be a marketplace in the photo, but we can not know for sure whether he is or is not at a marketplace.","The image shows a man sitting on a small step outside a building with ""The Frame Shop - Custom Framing"" signage. He is holding a cup and appears to be relaxed. Several colorful rugs are stacked against the building’s exterior wall, suggesting a display or sale. The rugs are varied in design and color. The building is painted in shades of blue and yellow. There’s foliage visible on the left side of the frame.",entailment
7179,5194023863.jpg#4r1e,5194023863.jpg,The girl is holding an insect.,entailment,A large snail is a type of insect.,"The image shows a young girl with blonde hair and light skin, wearing a yellow shirt and blue jeans. She is holding a large snail in her hands. Her expression is cheerful and slightly mischievous. The background is a dark room with a chair and wooden flooring.",entailment
7180,5194023863.jpg#4r1c,5194023863.jpg,The girl is holding a puppy.,contradiction,The subject cannot be holding a puppy if she holds a snail.,"The image shows a young girl with fair skin, blonde hair, and light blue eyes. She is smiling and looking directly at the camera. She is holding a large, brown snail in her hands, with dirt visible on her fingers and the snail's shell. She is wearing a yellow shirt and denim jeans. The background is somewhat dark and out of focus, showing parts of furniture.",contradiction
9604,5194023863.jpg#4r1n,5194023863.jpg,The girl is showing off her pet.,neutral,It is a girl showing off a snail but it may or may not be her pet.,"The image shows a young girl with blonde hair and light skin, wearing a yellow shirt and blue jeans, holding a large, brown snail in her hands. She is looking directly at the camera with a slightly mischievous expression. The background is slightly blurred, revealing a dark room with furniture and a chair.",entailment
6033,253924161.jpg#0r2e,253924161.jpg,A man and woman sit side by side at a table.,entailment,A man and woman sit side by side at a table implies a man with gray hair and a blond woman,"The image shows a close-up shot of a man and a woman sitting at an outdoor table, likely at a cafe or restaurant. The man is facing the woman, and both are looking in the same direction. A table with coffee cups and glasses is in front of them. There are bicycles parked nearby and a blurred street scene in the background.",entailment
6026,253924161.jpg#0r2c,253924161.jpg,The two men stand by the table.,contradiction,"The two people are either men, or they are a man and a woman.","The image shows a close-up shot of a man and a woman sitting at an outdoor table, likely at a café or restaurant. The man is looking at the woman, who is looking down. There is a cup of coffee and a napkin on the table. Several bicycles are parked nearby, and there are cars in the background. The scene appears to be an outdoor setting.",neutral
10557,253924161.jpg#3r1n,253924161.jpg,A tall human sitting,neutral,The photo is not detailed enough to determine how tall the human is.,"The image shows a man and a woman sitting at an outdoor table in what appears to be a cafe or restaurant. The man is older, with graying hair and a casual grey sweater. The woman is younger, with blonde hair, wearing a red shirt. They are both looking off to the side, seemingly engaged in conversation. There's a table with drinks and food on it, and bicycles are parked nearby. The background includes other people and vehicles.",entailment
1015,3616525288.jpg#3r1e,3616525288.jpg,People ride horses.,entailment,Jockeys are people.,"The image depicts a horse race in progress. Several horses, each ridden by a jockey, are running side-by-side on a grassy track. The horses are wearing colorful harnesses and jockey silks. A large digital scoreboard is visible in the background, displaying a blurred image of the race and related information. The scene suggests a competitive racing event.",entailment
7809,3616525288.jpg#0r1c,3616525288.jpg,Horse jockeys are riding goats in a race.,contradiction,The jockeys can't be racing horses and riding goats at the same time.,"The image shows a horse race in progress. Several horses, each ridden by a jockey in brightly colored silks, are galloping across a grassy track. The jockeys are wearing helmets and holding the reins. A large digital scoreboard displays a view of the race, showing other horses further along the course. The overall scene conveys a dynamic and competitive sporting event.",contradiction
13365,3616525288.jpg#3r1n,3616525288.jpg,People ride horses at the Kentucky Derby.,neutral,This picture shows people that ride horses but no proof it's at the Kentucky Derby,"The image shows a close-up shot of four horses racing in a stadium environment. Each horse is ridden by a jockey wearing colorful silks and helmets. There’s a large video screen in the background displaying a blurred image of other horses competing in a race, suggesting a large event. The setting appears to be a racetrack.",entailment
229,4734146340.jpg#0r2e,4734146340.jpg,Two men are wearing glasses.,entailment,"Both men were described as wearing glasses, so there are two men wearing those glasses.","The image shows two older men in a crowd. One man is wearing glasses and holding a wooden stick. The other man is wearing sunglasses and an orange vest with a red hat bearing the logo ""Crêt"". There are other people in the background wearing similar orange vests.",entailment
224,4734146340.jpg#3r1c,4734146340.jpg,A man wears shorts and sits by a fountain.,contradiction,You can't be supporting a cause when he sits at a fountain.,"The image shows two older men at what appears to be a public gathering or protest. The man on the left is wearing a striped button-down shirt and glasses, and holding a wooden pole. He is looking slightly downwards. The man on the right is wearing a red baseball cap with the logo ""CRT"" on it and an orange vest, and sunglasses. He is also looking outwards. There are other people in the background wearing similar orange vests. The lighting suggests a sunny day.",neutral
12334,4734146340.jpg#4r1n,4734146340.jpg,A elderly male with a hiking stick.,neutral,"Whether the elderly male is holding a hiking stick or not, is unclear from the image.","The image shows two elderly men participating in an outdoor event, likely a protest or rally. One man is wearing glasses and holding a wooden hiking stick. The other man is wearing a bright orange cap and vest, and sunglasses, with a slightly surprised expression. There are several other people in the background wearing similar orange caps.",entailment
6737,3619322150.jpg#0r1e,3619322150.jpg,A couple is in clothes.,entailment,a young couple is a couple and red outfits are clothes,"The image shows a close-up of a man and a woman, likely a couple, embracing. The man is wearing a reddish-brown button-down shirt and the woman is wearing a reddish-brown sleeveless dress. They are looking at each other with a smile. The background is dark, suggesting an outdoor setting, possibly at dusk or evening. Both individuals appear to be dressed in clothing.",entailment
6738,3619322150.jpg#0r1c,3619322150.jpg,No one is dancing.,contradiction,A young couple is performing a dance.,"The image shows a man and a woman embracing closely outdoors in what appears to be a dimly lit setting, possibly a garden or park. The man is leaning in to kiss the woman on the forehead. They are both wearing reddish-brown clothing. The background is blurred, featuring trees and a slightly brighter sky. They appear to be a couple and are displaying a loving and intimate moment.",neutral
10631,3619322150.jpg#3r1n,3619322150.jpg,Two people are on a date.,neutral,The photo does show two people together and they appear to be a couple but you can not tell if they are on a date or not.,"The image shows a close-up shot of a man and a woman embracing. The man is leaning in to kiss the woman on the cheek. Both are wearing reddish-brown clothing. The setting appears to be outdoors, with greenery visible in the background. They are looking at each other with expressions of affection and connection.",entailment
